Gene,Gene ID,drugs,ID,ADME
PDE4B,5142,"Caffeine,Theophylline,Dyphylline,Pentoxifylline,Iloprost,Theobromine,Crisaborole,Apremilast","DB00201,DB00277,DB00651,DB00806,DB01088,DB01412,DB05219,DB05676",
PDE4C,5143,"Dyphylline,Iloprost,Crisaborole","DB00651,DB01088,DB05219",
PDE4D,5144,"Dyphylline,Iloprost,Crisaborole,Apremilast","DB00651,DB01088,DB05219,DB05676",
PDE5A,8654,"Sildenafil,Theophylline,Pentoxifylline,Tadalafil,Vardenafil,Dipyridamole,Citric Acid,Avanafil,Udenafil","DB00203,DB00277,DB00806,DB00820,DB00862,DB00975,DB04272,DB06237,DB06267",
PDE6G,5148,"Sildenafil,Vardenafil","DB00203,DB00862",
PDE6H,5149,"Sildenafil,Vardenafil","DB00203,DB00862",
PDE7A,5150,Dyphylline,DB00651,
PDE7B,27115,Dyphylline,DB00651,
PDGFRA,5156,"Imatinib,Sunitinib,Pazopanib,Midostaurin,Regorafenib,Ponatinib","DB00619,DB01268,DB06589,DB06595,DB08896,DB08901",
PDGFRB,5159,"Sorafenib,Imatinib,Dasatinib,Sunitinib,Pazopanib,Midostaurin,Regorafenib","DB00398,DB00619,DB01254,DB01268,DB06589,DB06595,DB08896",
PDHA1,5160,NADH,DB00157,
PDHA2,5161,NADH,DB00157,
PDHB,5162,NADH,DB00157,
PDIA3,2923,Zinc,DB01593,
PDK4,5166,Tretinoin,DB00755,
PDPK1,5170,Celecoxib,DB00482,
PDXDC1,23042,Pyridoxal Phosphate,DB00114,
PDXP,57026,Pyridoxal Phosphate,DB00114,
PENA,NaN,"Piperacillin,Cefalotin,Dicloxacillin,Cefotaxime,Cephalexin,Nafcillin,Cefadroxil,Cloxacillin,Ceftriaxone","DB00319,DB00456,DB00485,DB00493,DB00567,DB00607,DB01140,DB01147,DB01212",
PENP,NaN,Citric Acid,DB04272,
PER1,5187,Avibactam,DB09060,
PGD,5226,"Methotrexate,Furosemide,Meloxicam,Ketotifen","DB00563,DB00695,DB00814,DB00920",True
PGK1,5230,Lamivudine,DB00709,True
PGLYRP2,114770,Zinc,DB01593,
PGR,5241,"Etonogestrel,Desogestrel,Megestrol acetate,Levonorgestrel,Dydrogesterone,Progesterone,Spironolactone,Fluticasone propionate,Medroxyprogesterone acetate,Mitotane,Norethisterone,Mometasone,Ethynodiol diacetate,Mifepristone,Norgestimate,Drospirenone,Danazol,Oxybenzone,Norelgestromin,Hydroxyprogesterone caproate,Ulipristal,Dienogest,Medrogestone,Norgestrel,Homosalate,Enzacamene,Gestrinone","DB00294,DB00304,DB00351,DB00367,DB00378,DB00396,DB00421,DB00588,DB00603,DB00648,DB00717,DB00764,DB00823,DB00834,DB00957,DB01395,DB01406,DB01428,DB06713,DB06789,DB08867,DB09123,DB09124,DB09389,DB11064,DB11219,DB11619",
PGRMC1,10857,"Dextromethorphan,Nortriptyline,Sertraline","DB00514,DB00540,DB01104",
PHB2,11331,Capsaicin,DB06774,
PHGDH,26227,NADH,DB00157,
PHYKPL,85007,Pyridoxal Phosphate,DB00114,
PI4K2B,55300,Resveratrol,DB02709,
PIK3CA,5290,"Caffeine,Copanlisib","DB00201,DB12483",
PIK3CB,5291,Caffeine,DB00201,
PIK3CD,5293,"Caffeine,Copanlisib","DB00201,DB12483",
PIK3R1,5295,Isoprenaline,DB01064,
PIK3R2,5296,Isoprenaline,DB01064,
PIK3R3,8503,Isoprenaline,DB01064,
PLA2G1B,5319,"Sulfasalazine,Cholic Acid,Niflumic Acid,Cannabidiol","DB00795,DB02659,DB04552,DB09061",True
PLA2G2A,5320,"Indomethacin,Diclofenac,Ginkgo biloba","DB00328,DB00586,DB01381",
PLA2G2E,30814,"Aminosalicylic Acid,Oxyphenbutazone,Nimesulide,Glycerin","DB00233,DB03585,DB04743,DB09462",
PLA2G4A,5321,"Aldesleukin,Carbachol,Epirubicin,Fluticasone propionate,Fluocinolone Acetonide,Orlistat,Quinacrine,Niflumic Acid","DB00041,DB00411,DB00445,DB00588,DB00591,DB01083,DB01103,DB04552",True
PLA2G6,8398,Quinacrine,DB01103,
PLAT,5327,"Aminocaproic Acid,Ibuprofen,Iloprost,Human C1-esterase inhibitor,Dexibuprofen,Conestat alfa","DB00513,DB01050,DB01088,DB06404,DB09213,DB09228",
PLCL1,5334,Quinacrine,DB01103,
PLEKHA1,59338,Citric Acid,DB04272,
PLG,5340,Aminocaproic Acid,DB00513,
PLOD1,5351,Succinic acid,DB00139,
PLOD3,8985,Succinic acid,DB00139,
PLPBP,11212,Pyridoxal Phosphate,DB00114,
PML,5371,Arsenic trioxide,DB01169,
PMP2,5375,"Palmitic Acid,Oleic Acid","DB03796,DB04224",
PNLIP,5406,Orlistat,DB01083,
PNP,4860,Didanosine,DB00900,
PNPO,55163,Pyridoxal Phosphate,DB00114,
POLH,5429,Nicotinamide,DB02701,
POMC,5443,Loperamide,DB00836,
PON1,5444,"Cefazolin,Zinc","DB01327,DB01593",
PON3,5446,Lovastatin,DB00227,True
PONB,NaN,"Ceftazidime,Cefoperazone","DB00438,DB01329",
POR,5447,"Nilutamide,Daunorubicin,Benzphetamine,Doxorubicin,Ethylmorphine","DB00665,DB00694,DB00865,DB00997,DB01466",True
POU2F2,5452,Bictegravir,DB11799,True
POU5F1,5460,"Norepinephrine,Dopamine","DB00368,DB00988",True
PPARA,5465,"Icosapent,Valproic Acid,Indomethacin,Rosiglitazone,Fenoprofen,Clofibrate,Fenofibrate,Ibuprofen,Pioglitazone,Gemfibrozil,Bezafibrate,Prasterone,Resveratrol,Doconexent,Palmitic Acid,Oleic Acid,Caprylic acid,Soybean oil,Omega-3 fatty acids,Myrrh,Fenofibric acid","DB00159,DB00313,DB00328,DB00412,DB00573,DB00636,DB01039,DB01050,DB01132,DB01241,DB01393,DB01708,DB02709,DB03756,DB03796,DB04224,DB04519,DB09422,DB11133,DB11605,DB13873",
PPARD,5467,"Icosapent,Valproic Acid,Treprostinil,Rosiglitazone,Sulindac,Fenofibrate,Pioglitazone,Bezafibrate,Oleic Acid,Glycerin,Fenofibric acid","DB00159,DB00313,DB00374,DB00412,DB00605,DB01039,DB01132,DB01393,DB04224,DB09462,DB13873",
PPARG,5468,"Icosapent,Mesalazine,Valproic Acid,Indomethacin,Rosiglitazone,Fenoprofen,Nateglinide,Sulfasalazine,Repaglinide,Telmisartan,Balsalazide,Fenofibrate,Ibuprofen,Glipizide,Amiodarone,Pioglitazone,Mitiglinide,Bezafibrate,Resveratrol,Doconexent,Oleic Acid,Cannabidiol,Lobeglitazone,Dexibuprofen,Omega-3 fatty acids,Fenofibric acid","DB00159,DB00244,DB00313,DB00328,DB00412,DB00573,DB00731,DB00795,DB00912,DB00966,DB01014,DB01039,DB01050,DB01067,DB01118,DB01132,DB01252,DB01393,DB02709,DB03756,DB04224,DB09061,DB09198,DB09213,DB11133,DB13873",
PPAT,5471,"Fluorouracil,Mercaptopurine,Dasatinib","DB00544,DB01033,DB01254",True
PPIA,5478,Cyclosporine,DB00091,
PPIF,10105,Cyclosporine,DB00091,
PPP3R2,5535,Cyclosporine,DB00091,
PPT1,5538,Palmitic Acid,DB03796,
PPTA,NaN,Benzoic Acid,DB03793,
PRDX1,5052,Zinc,DB01593,
PRDX5,25824,Benzoic Acid,DB03793,
PRKAA1,5562,"Phenformin,Acetylsalicylic acid","DB00914,DB00945",
PRKCA,5578,"Tamoxifen,Midostaurin","DB00675,DB06595",
PRKDC,5591,Caffeine,DB00201,
PRLR,5618,Fluoxymesterone,DB01185,
PRNP,5621,Tetracycline,DB00759,
PSAT1,29968,Pyridoxal Phosphate,DB00114,
PSG5,5673,Alitretinoin,DB00523,
PSMB1,5689,"Bortezomib,Carfilzomib","DB00188,DB08889",
PSMB10,5699,Carfilzomib,DB08889,
PSMB2,5690,Carfilzomib,DB08889,
PSMB5,5693,"Bortezomib,Carfilzomib","DB00188,DB08889",
PSMB8,5696,Carfilzomib,DB08889,
PSMB9,5698,Carfilzomib,DB08889,
PSPH,5723,Zinc,DB01593,
PTAFR,5724,"Etizolam,Rupatadine","DB09166,DB11614",
PTGDR2,11251,"Indomethacin,Sulindac,Alprostadil,Dinoprostone,Iloprost","DB00328,DB00605,DB00770,DB00917,DB01088",
PTGER1,5731,"Bupivacaine,Alprostadil,Dinoprostone,Iloprost","DB00297,DB00770,DB00917,DB01088",
PTGER2,5732,"Alprostadil,Dinoprostone","DB00770,DB00917",
PTGER3,5733,Dinoprostone,DB00917,
PTGER4,5734,Dinoprostone,DB00917,
PTGFR,5737,"Latanoprost,Tafluprost,Latanoprostene Bunod","DB00654,DB08819,DB11660",
PTGIR,5739,"Treprostinil,Iloprost,Epoprostenol,Selexipag","DB00374,DB01088,DB01240,DB11362",
PTGIS,5740,"Phenylbutazone,Epoprostenol","DB00812,DB01240",
PTGR2,145482,Indomethacin,DB00328,
PTGS1,5742,"Desmopressin,Dihomo-gamma-linolenic acid,Icosapent,Eletriptan,Mesalazine,Valproic Acid,Acetaminophen,Hydromorphone,Indomethacin,Minoxidil,Eszopiclone,Rosiglitazone,Nabumetone,Ketorolac,Tenoxicam,Dronabinol,Montelukast,Tolmetin,Rofecoxib,Nortriptyline,Zafirlukast,Piroxicam,Fenoprofen,Diclofenac,Sulindac,Imatinib,Chlorpropamide,Diethylcarbamazine,Flurbiprofen,Nateglinide,Zileuton,Etodolac,Etoposide,Mefenamic acid,Naproxen,Sulfasalazine,Candesartan cilexetil,Phenylbutazone,Meloxicam,Carprofen,Diazepam,Terbinafine,Diflunisal,Suprofen,Salicylic acid,Meclofenamic acid,Acetylsalicylic acid,Bromfenac,Oxaprozin,Ketoprofen,Balsalazide,Sulfamethoxazole,Thalidomide,Ibuprofen,Diphenhydramine,Pioglitazone,Carvedilol,Ifosfamide,Zopiclone,Ketamine,Lumiracoxib,Magnesium salicylate,Salsalate,Choline magnesium trisalicylate,Antrafenine,Antipyrine,Tiaprofenic acid,Resveratrol,Niflumic Acid,Metamizole,Lornoxicam,Aceclofenac,Ketobemidone,Seratrodast,Nepafenac,Triflusal,Cannabidiol,Loxoprofen,Dexibuprofen,Dexketoprofen,Tolfenamic Acid,Propacetamol,Talniflumate,Trolamine salicylate,Acemetacin","DB00035,DB00154,DB00159,DB00216,DB00244,DB00313,DB00316,DB00327,DB00328,DB00350,DB00402,DB00412,DB00461,DB00465,DB00469,DB00470,DB00471,DB00500,DB00533,DB00540,DB00549,DB00554,DB00573,DB00586,DB00605,DB00619,DB00672,DB00711,DB00712,DB00731,DB00744,DB00749,DB00773,DB00784,DB00788,DB00795,DB00796,DB00812,DB00814,DB00821,DB00829,DB00857,DB00861,DB00870,DB00936,DB00939,DB00945,DB00963,DB00991,DB01009,DB01014,DB01015,DB01041,DB01050,DB01075,DB01132,DB01136,DB01181,DB01198,DB01221,DB01283,DB01397,DB01399,DB01401,DB01419,DB01435,DB01600,DB02709,DB04552,DB04817,DB06725,DB06736,DB06738,DB06739,DB06802,DB08814,DB09061,DB09212,DB09213,DB09214,DB09216,DB09288,DB09295,DB11079,DB13783",True
PTGS2,5743,"Etanercept,Desmopressin,Aldesleukin,Dihomo-gamma-linolenic acid,Icosapent,Aminosalicylic Acid,Mesalazine,Acetaminophen,Indomethacin,Sapropterin,Nabumetone,Ketorolac,Tenoxicam,Lenalidomide,Celecoxib,Tolmetin,Cisplatin,Rofecoxib,Piroxicam,Fenoprofen,Valdecoxib,Diclofenac,Sulindac,Triamcinolone,Flurbiprofen,Clodronic Acid,Etodolac,Etoposide,Mefenamic acid,Naproxen,Sulfasalazine,Phenylbutazone,Meloxicam,Carprofen,Diflunisal,Suprofen,Risedronate,Bumetanide,Salicylic acid,Meclofenamic acid,Acetylsalicylic acid,Bromfenac,Oxaprozin,Ketoprofen,Balsalazide,Thalidomide,Ibuprofen,Lumiracoxib,Drospirenone,Magnesium salicylate,Salsalate,Choline magnesium trisalicylate,Ginseng,Antrafenine,Antipyrine,Tiaprofenic acid,Etoricoxib,Resveratrol,Niflumic Acid,Nimesulide,Lornoxicam,Aceclofenac,Capsaicin,Nepafenac,Parecoxib,Tafluprost,Pomalidomide,Cannabidiol,Loxoprofen,Dexibuprofen,Dexketoprofen,Tolfenamic Acid,Morniflumate,Propacetamol,Talniflumate,Trolamine salicylate,Omega-3 fatty acids,Alclofenac,Acemetacin","DB00005,DB00035,DB00041,DB00154,DB00159,DB00233,DB00244,DB00316,DB00328,DB00360,DB00461,DB00465,DB00469,DB00480,DB00482,DB00500,DB00515,DB00533,DB00554,DB00573,DB00580,DB00586,DB00605,DB00620,DB00712,DB00720,DB00749,DB00773,DB00784,DB00788,DB00795,DB00812,DB00814,DB00821,DB00861,DB00870,DB00884,DB00887,DB00936,DB00939,DB00945,DB00963,DB00991,DB01009,DB01014,DB01041,DB01050,DB01283,DB01395,DB01397,DB01399,DB01401,DB01404,DB01419,DB01435,DB01600,DB01628,DB02709,DB04552,DB04743,DB06725,DB06736,DB06774,DB06802,DB08439,DB08819,DB08910,DB09061,DB09212,DB09213,DB09214,DB09216,DB09285,DB09288,DB09295,DB11079,DB11133,DB13167,DB13783",True
PTK2B,2185,"Leflunomide,Baricitinib","DB01097,DB11817",
PTK6,5753,Vandetanib,DB05294,
PUTA,NaN,Lactic Acid,DB04398,
PYCR1,5831,NADH,DB00157,
PYCR2,29920,NADH,DB00157,
PYGB,5834,Pyridoxal Phosphate,DB00114,
PYGL,5836,Pyridoxal Phosphate,DB00114,
PYGM,5837,Pyridoxal Phosphate,DB00114,
PZP,5858,Zinc,DB01593,
QDPR,5860,NADH,DB00157,
QPRT,23475,Niacin,DB00627,
RAB9A,9367,Benzoic Acid,DB03793,
RAF1,5894,"Sorafenib,Regorafenib,Dabrafenib","DB00398,DB08896,DB08912",
RALBP1,10928,"Sorafenib,Vincristine,Carbamazepine,Doxorubicin","DB00398,DB00541,DB00564,DB00997",True
RARA,5914,"Alitretinoin,Tretinoin","DB00523,DB00755",
RARB,5915,"Alitretinoin,Tretinoin","DB00523,DB00755",
RARG,5916,"Alitretinoin,Tretinoin","DB00523,DB00755",
RARRES1,5918,Tretinoin,DB00755,
RB1,5925,"Insulin Human,Insulin Pork","DB00030,DB00071",
RBP4,5950,Tretinoin,DB00755,
RCAN1,1827,Dipyridamole,DB00975,
RDH5,5959,NADH,DB00157,
RDXA,NaN,Metronidazole,DB00916,
REN,5972,"Minoxidil,Aliskiren","DB00350,DB09026",
RET,5979,"Sorafenib,Imatinib,Vandetanib,Cabozantinib,Regorafenib,Ponatinib","DB00398,DB00619,DB05294,DB08875,DB08896,DB08901",
RFK,55312,Riboflavin,DB00140,
RHO,6010,"Halothane,Palmitic Acid","DB01159,DB03796",
RIBC,NaN,Riboflavin,DB00140,
RIC3,79608,Theophylline,DB00277,
RIDA,10247,Benzoic Acid,DB03793,
RMLA,NaN,Citric Acid,DB04272,
RNASE1,6035,"Guanidine,Citric Acid","DB00536,DB04272",
RNASE3,6037,Citric Acid,DB04272,
ROCF,NaN,Guanidine,DB00536,
RORA,6095,Cholesterol,DB04540,
RORB,6096,Melatonin,DB01065,
RPIA,22934,Citric Acid,DB04272,
RPLC,NaN,"Retapamulin,Spiramycin","DB01256,DB06145",
RPLD,NaN,"Azithromycin,Josamycin,Citric Acid,Troleandomycin","DB00207,DB01321,DB04272,DB13179",
RPLJ,NaN,"Roxithromycin,Clindamycin,Clarithromycin,Quinupristin","DB00778,DB01190,DB01211,DB01369",
RPLP,NaN,Chloramphenicol,DB00446,
RPLV,NaN,"Azithromycin,Quinupristin","DB00207,DB01369",
RPMF,NaN,Troleandomycin,DB13179,
RPOA,NaN,Rifabutin,DB00615,
RPOB,NaN,"Rifabutin,Rifampicin,Rifaximin","DB00615,DB01045,DB01220",
RPOC,NaN,"Rifabutin,Rifampicin,Rifapentine","DB00615,DB01045,DB01201",
RPS6KA3,6197,Acetylsalicylic acid,DB00945,
RPSC,NaN,Tetracycline,DB00759,
RPSD,NaN,"Doxycycline,Oxytetracycline,Minocycline","DB00254,DB00595,DB01017",
RPSG,NaN,Tetracycline,DB00759,
RPSH,NaN,Tetracycline,DB00759,
RPSI,NaN,"Doxycycline,Oxytetracycline,Minocycline,Rolitetracycline","DB00254,DB00595,DB01017,DB01301",
RPSL,NaN,"Gentamicin,Streptomycin","DB00798,DB01082",
RPSN,NaN,Tetracycline,DB00759,
RPSS,NaN,Tetracycline,DB00759,
RRM1,6240,"Gemcitabine,Hydroxyurea","DB00441,DB01005",
RTCA,8634,Citric Acid,DB04272,
RXRA,6256,"Bexarotene,Rosiglitazone,Alitretinoin,Etodolac,Tretinoin,Bezafibrate,Doconexent,Oleic Acid","DB00307,DB00412,DB00523,DB00749,DB00755,DB01393,DB03756,DB04224",
RXRB,6257,"Bexarotene,Rosiglitazone,Alitretinoin,Tretinoin,Bezafibrate,Doconexent","DB00307,DB00412,DB00523,DB00755,DB01393,DB03756",
RXRG,6258,"Bexarotene,Rosiglitazone,Alitretinoin,Tretinoin,Bezafibrate,Doconexent","DB00307,DB00412,DB00523,DB00755,DB01393,DB03756",
RYR1,6261,"Caffeine,Dantrolene","DB00201,DB01219",
S100A1,6271,Olopatadine,DB00768,
S100A12,6283,Olopatadine,DB00768,
S100A13,6284,Olopatadine,DB00768,
S100A2,6273,"Olopatadine,Zinc","DB00768,DB01593",
S100A4,6275,Trifluoperazine,DB00831,
S100A7,6278,Zinc,DB01593,
S100A8,6279,Zinc,DB01593,
S100A9,6280,Zinc,DB01593,
S100B,6285,Olopatadine,DB00768,
SAA1,6288,Human Serum Albumin,DB00062,
SCLY,51540,Pyridoxal Phosphate,DB00114,
SCN10A,6336,"Lidocaine,Ropivacaine,Bupivacaine,Procaine,Cocaine,Levobupivacaine,Benzocaine,Chloroprocaine,Orphenadrine","DB00281,DB00296,DB00297,DB00721,DB00907,DB01002,DB01086,DB01161,DB01173",
SCN11A,11280,"Cocaine,Zonisamide","DB00907,DB00909",
SCN1A,6323,"Phenytoin,Valproic Acid,Zonisamide,Nitrazepam,Dronedarone,Permethrin,Brivaracetam","DB00252,DB00313,DB00909,DB01595,DB04855,DB04930,DB05541",
SCN1B,6324,"Phenytoin,Zonisamide","DB00252,DB00909",
SCN2A,6326,"Lamotrigine,Propofol,Zonisamide","DB00555,DB00818,DB00909",
SCN2B,6327,Zonisamide,DB00909,
SCN3A,6328,"Phenytoin,Zonisamide","DB00252,DB00909",
SCN3B,55800,Zonisamide,DB00909,
SCN4A,6329,"Lidocaine,Diclofenac,Propofol,Zonisamide,Flecainide","DB00281,DB00586,DB00818,DB00909,DB01195",
SCN4B,6330,Zonisamide,DB00909,
SCN5A,6331,"Ranolazine,Phenytoin,Disopyramide,Lidocaine,Mexiletine,Carbamazepine,Verapamil,Riluzole,Oxcarbazepine,Cocaine,Quinidine,Zonisamide,Procainamide,Tocainide,Propafenone,Flecainide,Encainide,Fosphenytoin,Ajmaline,Aprindine,Vernakalant,Isavuconazole","DB00243,DB00252,DB00280,DB00281,DB00379,DB00564,DB00661,DB00740,DB00776,DB00907,DB00908,DB00909,DB01035,DB01056,DB01182,DB01195,DB01228,DB01320,DB01426,DB01429,DB06217,DB11633",
SCN9A,6335,"Ranolazine,Lidocaine,Zonisamide,Rufinamide","DB00243,DB00281,DB00909,DB06201",
SCNN1A,6337,Triamterene,DB00384,
SCNN1B,6338,Triamterene,DB00384,
SCNN1D,6339,Triamterene,DB00384,
SCNN1G,6340,Triamterene,DB00384,
SDHA,6389,"Succinic acid,Ubidecarenone","DB00139,DB09270",
SDHB,6390,Succinic acid,DB00139,
SDHC,6391,Succinic acid,DB00139,
SDHD,6392,"Succinic acid,Citric Acid","DB00139,DB04272",
SDS,10993,Pyridoxal Phosphate,DB00114,
SDSL,113675,Pyridoxal Phosphate,DB00114,
SEC14L2,23541,Palmitic Acid,DB03796,
SELE,6401,Carvedilol,DB01136,
SELENOP,6414,Zinc,DB01593,
SELP,6403,"Lamivudine,Adefovir Dipivoxil","DB00709,DB00718",
SEMG1,6406,Zinc,DB01593,
SEPSECS,51091,Pyridoxal Phosphate,DB00114,
SERPINA1,5265,Zinc,DB01593,
SERPINA3,12,"Zinc,Citric Acid","DB01593,DB04272",
SERPINA4,5267,Zinc,DB01593,
SERPINA6,866,"Flunisolide,Alclometasone,Medrysone,Fluorometholone,Beclomethasone dipropionate,Fluticasone propionate,Fluocinolone Acetonide,Ulobetasol,Triamcinolone,Mitotane,Flumethasone,Hydrocortisone,Flurandrenolide,Prednisolone,Rimexolone,Fluocinonide,Paramethasone,Ciclesonide,Zinc,Medrogestone","DB00180,DB00240,DB00253,DB00324,DB00394,DB00588,DB00591,DB00596,DB00620,DB00648,DB00663,DB00741,DB00846,DB00860,DB00896,DB01047,DB01384,DB01410,DB01593,DB09124",True
SERPINA7,6906,"Liothyronine,Levothyroxine,Liotrix","DB00279,DB00451,DB01583",True
SERPINB9,5272,Raloxifene,DB00481,
SERPIND1,3053,Zinc,DB01593,
SFRP4,6424,"Cyclothiazide,Perindopril","DB00606,DB00790",
SGPL1,8879,Pyridoxal Phosphate,DB00114,
SH2B3,10019,Pazopanib,DB06589,
SHBG,6462,"Diethylstilbestrol,Levonorgestrel,Progesterone,Spironolactone,Toremifene,Testosterone,Mitotane,Estrone,Tamoxifen,Norethisterone,Hydrocortisone,Estradiol,Drostanolone,Clomifene,Dienestrol,Ethinyl Estradiol,Hesperetin,Fluoxymesterone,Danazol,Testosterone propionate,Zinc,Estriol,Estrone sulfate,Phenolphthalein,Oxymetholone,Methyltestosterone,Medrogestone,Gestrinone,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate,Estradiol acetate,Estradiol benzoate,Estradiol cypionate,Estradiol dienanthate,Estradiol valerate","DB00255,DB00367,DB00396,DB00421,DB00539,DB00624,DB00648,DB00655,DB00675,DB00717,DB00741,DB00783,DB00858,DB00882,DB00890,DB00977,DB01094,DB01185,DB01406,DB01420,DB01593,DB04573,DB04574,DB04824,DB06412,DB06710,DB09124,DB11619,DB13943,DB13944,DB13946,DB13952,DB13953,DB13954,DB13955,DB13956",True
SHMT1,6470,"Pyridoxal Phosphate,Mimosine","DB00114,DB01055",
SHMT2,6472,Pyridoxal Phosphate,DB00114,
SI,6476,Scopolamine,DB00747,
SIGA1,NaN,Fidaxomicin,DB08874,
SIGMAR1,10280,"Amitriptyline,Remoxipride,Dextromethorphan,Pentazocine,Naltrexone,Cocaine,Prasterone,Captodiame","DB00321,DB00409,DB00514,DB00652,DB00704,DB00907,DB01708,DB09014",
SIK1,150094,Dabrafenib,DB08912,
SIRT5,23408,Nicotinamide,DB02701,
SIVA1,10572,Zinc,DB01593,
SLC10A1,6554,"Cyclosporine,Liothyronine,Conjugated estrogens,Indomethacin,Progesterone,Testosterone,Bumetanide,Ethinyl Estradiol,Probenecid,Liotrix,Ursodeoxycholic acid,Cholic Acid,Deoxycholic Acid,Pitavastatin,Testosterone cypionate,Testosterone enanthate,Testosterone undecanoate","DB00091,DB00279,DB00286,DB00328,DB00396,DB00624,DB00887,DB00977,DB01032,DB01583,DB01586,DB02659,DB03619,DB08860,DB13943,DB13944,DB13946",True
SLC10A2,6555,"Cyclosporine,Valaciclovir,Ursodeoxycholic acid,Cholic Acid,Deoxycholic Acid","DB00091,DB00577,DB01586,DB02659,DB03619",True
SLC12A1,6557,"Furosemide,Bumetanide,Etacrynic acid","DB00695,DB00887,DB00903",
SLC12A2,6558,Bumetanide,DB00887,
SLC12A3,6559,"Chlorothiazide,Hydrochlorothiazide","DB00880,DB00999",
SLC12A4,6560,Bumetanide,DB00887,
SLC12A5,57468,Bumetanide,DB00887,
SLC13A1,6561,Succinic acid,DB00139,
SLC13A2,9058,Succinic acid,DB00139,
SLC13A3,64849,Succinic acid,DB00139,
SLC15A1,6564,"Oseltamivir,Midodrine,Ceftazidime,Cefalotin,Dicloxacillin,Cefotaxime,Cephalexin,Valaciclovir,Enalapril,Chlorpropamide,Nateglinide,Perindopril,Glyburide,Ibuprofen,Benzylpenicillin,Amoxicillin,Fluvastatin,Tolbutamide,Cefadroxil,Cloxacillin,Captopril,Ceftriaxone,Levodopa,Cefradine,Cilazapril,Benzoic Acid","DB00198,DB00211,DB00438,DB00456,DB00485,DB00493,DB00567,DB00577,DB00584,DB00672,DB00731,DB00790,DB01016,DB01050,DB01053,DB01060,DB01095,DB01124,DB01140,DB01147,DB01197,DB01212,DB01235,DB01333,DB01340,DB03793",True
SLC15A2,6565,"Ceftazidime,Cefalotin,Dicloxacillin,Cefotaxime,Cephalexin,Valaciclovir,Chlorpropamide,Nateglinide,Perindopril,Glyburide,Benzylpenicillin,Amoxicillin,Tolbutamide,Cefadroxil,Cloxacillin,Ceftriaxone,Cefradine,Cilazapril","DB00438,DB00456,DB00485,DB00493,DB00567,DB00577,DB00672,DB00731,DB00790,DB01016,DB01053,DB01060,DB01124,DB01140,DB01147,DB01212,DB01333,DB01340",True
SLC16A1,6566,"Pravastatin,Valproic Acid,Foscarnet,Methotrexate,Niacin,Nateglinide,Salicylic acid,Probenecid,Benzoic Acid,Lactic Acid,Niflumic Acid","DB00175,DB00313,DB00529,DB00563,DB00627,DB00731,DB00936,DB01032,DB03793,DB04398,DB04552",True
SLC16A10,117247,"L-Valine,Liothyronine,Levodopa,Liotrix,Lactic Acid,Droxidopa","DB00161,DB00279,DB01235,DB01583,DB04398,DB06262",True
SLC16A2,6567,"Levothyroxine,Liotrix","DB00451,DB01583",True
SLC16A3,9123,"Niacin,Lactic Acid","DB00627,DB04398",True
SLC16A7,9194,"Probenecid,Lactic Acid,Niflumic Acid","DB01032,DB04398,DB04552",True
SLC18A1,6570,"Reserpine,Norepinephrine,Ephedra,Methamphetamine","DB00206,DB00368,DB01363,DB01577",
SLC18A2,6571,"Amphetamine,Reserpine,Norepinephrine,Haloperidol,Mazindol,Benzphetamine,Dopamine,Ephedra,Ephedrine,Dextroamphetamine,Methamphetamine,Tetrabenazine,Histamine,Isometheptene,Valbenazine","DB00182,DB00206,DB00368,DB00502,DB00579,DB00865,DB00988,DB01363,DB01364,DB01576,DB01577,DB04844,DB05381,DB06706,DB11915",
SLC19A1,6573,Methotrexate,DB00563,True
SLC1A1,6505,Pregabalin,DB00230,True
SLC1A5,6510,Fluciclovine (18F),DB13146,
